time,top,top_middle,bottom_middle,bottom
1708219063,0,0,97,176
1708219063,0,0,101,176
1708219063,0,0,96,181
1708219064,0,0,89,179
1708219064,0,0,100,176
1708219064,0,0,70,180
1708219064,0,0,72,173
1708219064,0,0,51,174
1708219064,0,0,44,168
1708219064,0,0,47,177
1708219064,1,0,106,177
1708219064,0,0,53,180
1708219064,0,1,81,187
1708219065,0,0,99,188
1708219065,1,0,79,177
1708219065,1,0,0,166
1708219065,0,0,0,154
1708219065,0,2,0,174
1708219065,0,0,10,174
1708219065,0,0,0,171
1708219065,0,0,45,174
1708219065,0,0,57,175
1708219065,1,3,79,178
1708219066,0,0,101,173
1708219066,1,1,109,159
1708219066,0,0,100,171
1708219066,0,0,121,137
1708219066,1,0,119,171
1708219066,0,0,149,153
1708219066,0,0,154,153
1708219066,0,0,168,149
1708219066,0,1,168,180
1708219066,0,0,155,150
1708219067,0,0,167,171
1708219067,0,0,168,167
1708219067,0,1,155,169
1708219067,0,0,158,168
1708219067,0,0,161,165
1708219067,0,2,147,171
1708219067,1,0,122,171
1708219067,0,0,139,172
1708219067,0,0,141,168
1708219067,0,0,163,172
1708219068,0,0,161,173
1708219068,0,0,165,174
1708219068,0,0,173,174
1708219068,2,0,174,174
1708219068,1,1,180,158
1708219068,0,0,163,156
1708219068,1,0,177,168
1708219068,0,0,191,141
1708219068,0,1,173,139
1708219068,0,0,177,167
1708219069,0,0,173,163
1708219069,0,0,177,167
1708219069,0,0,136,165
1708219069,0,0,0,110
1708219069,0,0,0,56
1708219069,1,0,0,0
1708219069,0,0,1,1
1708219069,0,1,0,1
1708219069,0,0,1,0
1708219069,0,0,42,0
1708219070,80,0,50,0
1708219070,145,0,31,0
1708219070,238,71,64,0
1708219070,145,29,86,2
1708219070,0,0,38,0
1708219070,0,0,0,0
1708219070,0,0,0,82
1708219070,0,0,0,68
1708219070,0,0,0,20
1708219070,0,1,0,68
1708219071,0,0,0,137
1708219071,0,0,0,0
1708219071,0,1,0,0
1708219071,0,0,0,0
1708219071,0,0,0,0
1708219071,0,0,0,2
1708219071,0,0,0,0
1708219071,0,0,0,0
1708219071,0,2,1,0
1708219072,0,0,0,0
1708219072,0,1,0,0
1708219072,0,0,0,0
1708219072,0,0,0,0
1708219072,0,0,0,1
1708219072,0,0,0,0
1708219072,0,2,0,0
1708219072,0,1,0,0
1708219072,0,0,1,0
1708219072,0,0,0,1
1708219073,0,0,0,0
1708219073,0,1,1,0
1708219073,1,0,0,0
1708219073,0,0,0,0
1708219073,0,0,0,0
1708219073,2,0,0,0
1708219073,0,0,1,0
1708219073,0,0,0,1
1708219073,0,132,1,0
1708219073,0,325,0,0
1708219074,1,556,0,0
1708219074,0,436,0,2
1708219074,0,185,1,0
1708219074,0,288,0,0
1708219074,0,299,1,0
1708219074,0,506,0,0
1708219074,0,597,0,0
1708219074,0,0,0,0
1708219074,0,1,0,0
1708219074,2,0,0,1
1708219075,0,0,0,0
